Wikipedia Movie ID	Wikidata movie ID	Rotten Tomatoes score	Number of reviews
7544443	Q841487		
19160892	Q7044328		
28379587	Q7247579		
7566281	Q7911834		
27383563	Q53719	93.0	270.0
6242699	Q2445751		
7100124	Q5208332		
16943307	Q3522800		
9919006	Q6859907		
30975925	Q6470044		
7567438	Q11038827		
29154658	Q3223803		
22643381	Q8075438		
22946282	Q3326141		
28492939	Q4734370		
23248065	Q820819	80.0	10.0
3694061	Q1674808		
4025965	Q2966752		
17683356	Q764388		
5445021			
34129623	Q3964221		
6847340	Q4003625		
17594183	Q4659451		
29278064	Q5160102		
34916655			
6057135	Q2967565		
19988478	Q3156600		
5218366	Q3427615		
36406869	Q7448594		
27424477	Q7797610		
957179	Q287740	65.0	111.0
9208103	Q5159164		
30160141	Q3091293		
3389311	Q1305472	42.0	12.0
5565338	Q655487	20.0	15.0
9912420	Q5055548		
9919009	Q6155785		
168571	Q574057	97.0	32.0
31982675	Q7875591		
28066754	Q5091415		
26876259	Q6077894		
6244632	Q3003813	2.0	65.0
26013008	Q5002900		
6183212	Q3008740		
15941612	Q3224843		
15371815	Q7001976		
26798968	Q6152803		
31149313	Q7121453		
9912418	Q5965951		
846329	Q743203	100.0	25.0
6352213	Q3127408		
19490946			
10990102	Q1307054	90.0	10.0
30719399	Q6091114		
11144406	Q2383610		
1231856	Q777591	46.0	94.0
34563800	Q4855106		
16573952	Q1763425		
23737168	Q5436904		
6602958			
161877	Q971412	95.0	21.0
36036213	Q3285498		
24813200	Q6417181	40.0	5.0
36348802	Q4016634		
10858701	Q2222439	93.0	14.0
29832052	Q1133869		
9879562	Q5017230		
26374132	Q6684259		
10700127	Q7240165		
934809	Q699717	81.0	21.0
1273569	Q3837841		
30531735			
31646915	Q5732230		
1358704	Q1637652		
1612686	Q176488	12.0	67.0
10492496	Q5285131		
23792787	Q5053555		
7612646			
10663174	Q7738307		
16645962	Q722353		
30587025	Q5267966		
31707381	Q7773946		
4600837	Q2792321		
1273572	Q614854		
8158277	Q1362830		
9569532	Q1319849		
77639	Q1198860	94.0	32.0
28692419			
16683731	Q5641767		
12395625	Q7261913		
9879576	Q5026785		
5080311	Q1510303		
23939272	Q1931427		
28379461	Q7876269		
23714330	Q3657862		
22145673	Q7514012		
14415689	Q2188440		
5137345	Q1961722	40.0	10.0
13508675	Q4927667		
8948959	Q1758349		
29831967	Q3665199		
31636280	Q283555	81.0	21.0
9308502			
34953631			
17470026	Q7703852		
9879584	Q4703375		
33404927	Q4019808		
10017049	Q5291786		
21686929	Q12124788		
309159	Q1125687		
27695067	Q7752894		
5150761	Q2657579	20.0	5.0
10604572	Q7302038		
7378452	Q12126679		
612007	Q2527167	100.0	9.0
25366718	Q2124582		
30599547	Q5497675		
28275468			
5842466	Q7502930		
3889952	Q7750231		
35827366	Q4395101		
7299774	Q3221469		
21254725	Q200728		
6057698	Q966926		
967367	Q5949967		
8610844	Q3284994		
2028217	Q862058	72.0	109.0
1141059	Q488345	43.0	134.0
25768831	Q7784776		
34109833	Q7786431		
25877696	Q6886298		
28350035	Q6748753		
1911903	Q1568640	14.0	7.0
28839628	Q571167		
8906793	Q4739423		
28807804	Q5084384		
11259949	Q3319924		
31987584	Q7745582		
18095028	Q5466688		
18070985	Q7784107		
14613957	Q3941439		
22811780	Q826199		
25603991	Q4699579		
33477597	Q1210886		
5682615	Q261145		
20500100	Q3772845		
26268645	Q14931659		
35588348	Q5984926		
25417587	Q6751075		
10451448	Q7971038		
23687729	Q3996035		
1850269	Q716883	98.0	50.0
16791614	Q319184		
18410187	Q7758755		
8781041			
4453753	Q374207	67.0	9.0
21674541	Q780702		
4724834	Q748412	86.0	7.0
9943176	Q3820833	100.0	5.0
3504034	Q2549045		
9878993	Q9019418		
34055313	Q4742921	30.0	23.0
28374748	Q3054180		
33551059			
33083106	Q6818868		
17884388	Q5276624		
20927265	Q5028831		
1157158	Q602600	42.0	119.0
28492608	Q3505774		
10999615	Q7769892		
21482599			
24665535	Q7719562		
23467297	Q7168015		
3972416	Q625209		
16647548	Q562639	100.0	7.0
12837431	Q12127561		
9573761	Q6512910		
24064330	Q7458470		
31323898	Q2549119		
803276	Q1425384		
34630340	Q2087626		
3028248	Q1305541	67.0	30.0
36052259			
23202562	Q5446407		
25152002	Q4866982		
3432108	Q2090840	20.0	5.0
1341543	Q1764969	57.0	14.0
20454049	Q7821655		
19940109	Q1610740		
20568858	Q456054		
28492562	Q3506290		
4501185	Q225958	5.0	58.0
12941571	Q7729300		
2397783	Q5519879		
19104869	Q1714284		
9594415	Q4023768		
2119021	Q858047	56.0	9.0
29023860	Q4083106		
20632048	Q18647907		
1774709	Q603440		
24459970	Q3985784		
28992007	Q2268308	70.0	10.0
15098346	Q4661177		
13769297	Q495737	83.0	6.0
20426704	Q5666711		
24858468	Q3401652		
31427208	Q7549554		
15284386			
25215987	Q4924525		
5877719	Q12100134	0.0	29.0
31210251	Q7908702		
34644182	Q4142279		
6836206	Q3553351		
5125045	Q1604268		
9362941	Q969709		
12042846	Q7577863		
19673886	Q2466760		
22576659	Q3236099		
3059075	Q2251878	45.0	11.0
142274	Q963081	66.0	44.0
26967925	Q1679822	76.0	42.0
31250513	Q12101705	71.0	7.0
508985	Q830430	76.0	33.0
3682299	Q1765614		
32098888	Q4661651		
14963981	Q6508066		
6887098	Q1395528	70.0	10.0
21447227	Q518901		
21239514	Q7759107		
1472865	Q4454259		
9558041	Q4657044		
23687492	Q17625673		
9424677	Q3287432		
6426246	Q6881927		
5284284	Q3485205	89.0	53.0
26291262	Q7746881		
27278051			
26778773	Q3621948		
19086354	Q7739010		
26149260	Q1268749	7.0	45.0
5049873	Q661660	79.0	14.0
26967810	Q1130313	93.0	120.0
21482237	Q7820764		
14230997	Q7317348		
24407838	Q5141012	70.0	20.0
31934171	Q16249311		
7121282	Q7774850		
1871167	Q1387340	13.0	146.0
23593226	Q7701803		
18487239	Q1656221	50.0	16.0
32068182	Q7859332		
2486602	Q7743076		
1217079	Q494582	93.0	43.0
30710263	Q5447834		
29865278	Q4938866		
32151115	Q4802248		
10088120	Q7763442		
35041105	Q4731163		
18705442	Q7977124		
2313467	Q1498448		
19434365	Q7515884		
1472852	Q218290	79.0	28.0
31032524	Q3822622		
29510726			
20094531	Q7710577		
27953778	Q3039255	76.0	21.0
19127891	Q2819799		
9497934	Q2995882		
32564574	Q7727587		
35790655	Q7262204		
12188026	Q7029965		
26206182	Q6884632		
20503264	Q2411101		
6846215	Q310734	39.0	145.0
12073548	Q2394370	78.0	9.0
29075168	Q4817942		
3759392	Q7727987		
26084706	Q3203227		
35121944	Q4708666		
31003512	Q7044506		
418154	Q4087287		
14602109	Q4690917		
34037062	Q17071855		
29002780	Q7065308		
27744173	Q7748213		
13194784	Q2498193		
780889	Q1552174		
25984661	Q2934333		
24833392			
19614697	Q5114248		
9002666	Q474072		
29381531	Q4911522		
23691047	Q7362433		
33938681	Q3736205	78.0	23.0
32206533	Q7733274		
