,Wikipedia Movie ID,ethnicity_diversity
223,1588008,
224,13291849,
225,12491178,
226,5696825,
227,6795113,
228,30173306,0.10858098579280089
229,30405742,
230,32852698,
231,254465,
232,32417200,
233,103021,
234,21793185,
235,24011583,
236,33144131,
237,31025540,
238,1940449,
239,8973241,
240,18496109,
241,5261530,0.08347430883000456
242,5384210,
243,6795107,0.07286670007851516
244,2174795,
245,30109815,
246,73842,
247,20433908,0.0808032080150231
248,29551629,
249,28649243,
250,27365295,
251,6703617,
252,14294670,
253,22466518,
254,20545821,
255,6367133,
256,21737016,
257,19389755,
258,29174042,
259,14907363,
260,29851917,
261,362719,
262,30353952,
263,2870618,
264,21271533,
265,18821340,
266,16055450,
267,33870773,
268,22308889,
269,13706555,0.3586841549093481
270,17486320,
271,7696753,
272,32148709,
273,28327554,
274,31156816,0.10858098579280089
275,17379289,
276,18037577,
277,23066641,
278,17960503,
279,13919299,
280,10705531,
281,4459059,
282,6471697,0.062284689496504585
283,413207,
284,14886428,
285,34689049,
286,36542079,
287,4069274,
288,1643787,
289,3681139,
290,35923481,
291,11013589,
292,26205476,
293,20365034,
294,33843262,0.19277027822463708
295,8955475,
296,5685826,
297,24234630,
298,5549065,
299,14543900,0.10858098579280089
300,35567084,0.3658111080662781
301,24364162,
302,14739568,
303,37067980,
304,22644083,
305,171058,
306,2608958,0.16438068596157487
307,21618909,
308,26624119,
309,6273971,
310,2546429,
311,25947106,
312,9916335,
313,2596816,
314,20553214,
315,14630761,
316,34472259,
317,3927698,
318,31686022,
319,25753113,
320,6792375,
321,24416479,
322,31021783,
323,14773122,
324,36166216,
325,1688879,
326,12490207,
327,20904045,0.06691431912613421
328,29468997,
329,2574970,
330,240088,
331,14881706,
332,29141182,
333,32584198,
334,31613768,
335,6170621,
336,33148159,
337,12380008,
338,16672517,0.3585809857928009
339,24053482,
340,11252861,0.13635876357057866
341,32345990,0.09191431912613422
342,13911991,
343,3883051,
344,20117139,
345,34530005,
346,1033297,0.26719467161449556
347,21236198,
348,9105523,
349,15737392,
350,31025770,
351,33519683,0.2624281089096968
352,31155676,
353,32400923,
354,25393275,0.10858098579280089
355,12510319,
356,17594419,
357,207680,
358,5771666,
359,36422018,
360,7489503,
361,27667647,
362,1858682,
363,33006259,
364,15221045,
365,12802045,
366,33559533,
367,7235116,
368,13723442,0.19201748824268142
369,24862266,
370,5254729,
371,5007743,0.16377765461312999
372,22695715,
373,2051395,
374,34858219,
375,15457461,
376,19168185,
377,9124011,
378,11943972,
379,1393873,
380,24291753,
381,20648586,0.19277027822463708
382,7447592,
383,3865579,0.35943694489130373
384,14558212,
385,3959961,
386,235331,
387,32494263,
388,8616622,
389,34169001,
390,9560806,
391,27504492,
392,22697314,
393,1249014,
394,18620635,0.36075222437588467
395,9879162,
396,35516437,
397,29513277,
398,35785312,
399,20506905,
400,28360743,
401,30624204,
402,28178412,
403,9857888,
404,30551885,
405,20634623,
406,15297854,
407,35962988,
408,31915495,
409,13931033,
410,2172156,
411,14109452,
412,4783144,
413,23454846,0.0808032080150231
414,4058835,0.21933321016868554
415,7583494,
416,16183379,
417,24282238,0.07286670007851516
418,16688733,
419,19314444,
420,25446757,
421,2642180,
422,24320836,
423,12384049,
424,25019575,
425,31251203,
426,15858518,0.19191431912613421
427,36448826,
428,29016627,
429,16572418,
430,33544694,0.2823408898911158
431,6004372,
432,4473622,
433,33639428,
434,20484431,
435,14840648,
436,3867110,
437,7251994,
438,10366326,
439,1924820,
440,5418970,
441,2093270,
442,22332882,
443,22757028,
444,4434585,
445,11686007,
446,9857879,
447,9384481,
448,22557257,
449,8637169,
450,30957142,
451,7731853,
452,21752299,
453,12091274,
454,856733,
455,36320373,
456,15698879,
457,24789247,
458,8887199,
459,28352636,
460,20018854,
461,76345,
462,7582987,0.3586841549093481
463,28858056,
464,24021571,0.06125208660778234
465,1854612,
466,3341998,
467,11696799,
468,11463957,
469,4926447,
470,20713032,0.16170958514659342
471,10594195,0.09191431912613422
472,25836931,
473,1226289,
474,12392289,
475,21310527,
476,20579729,
477,20393685,
478,19496914,
479,7914269,
480,29273489,
481,35987606,
482,26726624,
483,22643877,
484,12061267,0.18478776646731854
485,30351781,
486,7443761,
487,3475071,
488,3319645,
489,23688100,0.35943694489130373
490,13955114,
491,2450188,
492,15945437,
493,20611297,
494,19107318,
495,26860201,
496,34336017,
497,3459253,
498,44218,
499,21047444,
500,9139404,
501,1135297,
502,906380,
503,7882413,
504,31094908,
505,33773022,
506,20338652,
507,17024723,
508,18848953,
509,31638525,
510,19837210,
511,30603831,
512,9215946,
513,30994230,
514,29024029,
515,23103089,
516,18141105,
517,7014201,
518,30744671,
